G,"Point Latency","Time Received","Time Captured",MPH,Address,I0,"Engine On",I1,I2,I3,I4,I5,GPS,"Event Code",Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon","Triggered By","Δ Odo hm","Δ Eng min"
"LA","10 secs","2020-03-13 9:43.07am","2020-03-13 9:42.57am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,17,"0.6","-68",0,0,736,"Serial","40.8689325,-115.7322672","",0,2
"LA","7 secs","2020-03-13 9:41.02am","2020-03-13 9:40.55am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,16,"0.6","-65",0,0,735,"Serial","40.8689271,-115.7322404","",0,3
"LA","8 secs","2020-03-13 9:39.02am","2020-03-13 9:38.54am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,16,"0.6","-69",0,0,734,"Serial","40.8689419,-115.7322458","",0,3
"LA","8 secs","2020-03-13 9:37.02am","2020-03-13 9:36.54am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,17,"0.6","-67",0,0,733,"Serial","40.8689432,-115.732231","",1,2
"LA","9 secs","2020-03-13 9:35.02am","2020-03-13 9:34.53am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,17,"0.6","-66",0,0,732,"Serial","40.8689285,-115.7322351","",0,3
"LA","5 secs","2020-03-13 9:32.57am","2020-03-13 9:32.52am",0,"4224 Ruby Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,0,13,"0.6","-68",0,0,731,"Serial","40.8688869,-115.7327795","",1,2
"LA","13 secs","2020-03-13 9:31.05am","2020-03-13 9:30.52am",3,"4224 Ruby Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,37,18,"0.6","-74",0,0,730,"Serial","40.8688279,-115.7328761","Ignition On",0,0
"LA","15 secs","2020-03-13 9:31.05am","2020-03-13 9:30.50am",3,"4224 Ruby Vista Dr Elko NV 89801","-","-","-","-","-","-","-",3,0,18,"0.6","-74",0,0,729,"Serial","40.8688453,-115.7328627","",0,0
"LA","6 secs","2020-03-13 9:28.57am","2020-03-13 9:28.51am",0,"4224 Ruby Vista Dr Elko NV 89801","-","-","-","-","-","-","-",3,0,16,"0.6","-61",0,0,728,"Serial","40.8689097,-115.7326588","",0,0
"LA","7 secs","2020-03-13 9:26.57am","2020-03-13 9:26.50am",0,"4224 Ruby Vista Dr Elko NV 89801","-","-","-","-","-","-","-",3,38,18,"0.6","-70",0,0,727,"Serial","40.8689137,-115.7326588","Ignition Off",0,1
